BLAS `axpy` (level-1) Function
- data type: float
- vector size: 10000000 (38.15 MB)
- #SMs: 56
- #threads per block: 512
- #blocks: 86016
- Elasped time (axpy_h): 33.141186 (ms)
blockIdx.x: 65631, base: 8400768, len: 128
blockIdx.x: 65633, base: 8401024, len: 128
blockIdx.x: 65630, base: 8400640, len: 128
blockIdx.x: 65628, base: 8400384, len: 128
blockIdx.x: 65629, base: 8400512, len: 128
blockIdx.x: 65632, base: 8400896, len: 128
blockIdx.x: 65634, base: 8401152, len: 128
blockIdx.x: 65635, base: 8401280, len: 128
blockIdx.x: 65637, base: 8401536, len: 128
blockIdx.x: 65643, base: 8402304, len: 128
blockIdx.x: 65647, base: 8402816, len: 128
blockIdx.x: 65648, base: 8402944, len: 128
blockIdx.x: 65649, base: 8403072, len: 128
blockIdx.x: 65658, base: 8404224, len: 128
blockIdx.x: 65660, base: 8404480, len: 128
blockIdx.x: 65659, base: 8404352, len: 128
blockIdx.x: 65661, base: 8404608, len: 128
blockIdx.x: 65666, base: 8405248, len: 128
blockIdx.x: 65640, base: 8401920, len: 128
blockIdx.x: 65642, base: 8402176, len: 128
blockIdx.x: 65638, base: 8401664, len: 128
blockIdx.x: 65669, base: 8405632, len: 128
blockIdx.x: 65655, base: 8403840, len: 128
blockIdx.x: 65657, base: 8404096, len: 128
blockIdx.x: 65636, base: 8401408, len: 128
blockIdx.x: 65641, base: 8402048, len: 128
blockIdx.x: 65652, base: 8403456, len: 128
blockIdx.x: 65653, base: 8403584, len: 128
blockIdx.x: 65654, base: 8403712, len: 128
blockIdx.x: 65639, base: 8401792, len: 128
blockIdx.x: 65644, base: 8402432, len: 128
blockIdx.x: 65670, base: 8405760, len: 128
blockIdx.x: 65671, base: 8405888, len: 128
blockIdx.x: 65687, base: 8407936, len: 128
blockIdx.x: 65688, base: 8408064, len: 128
blockIdx.x: 65693, base: 8408704, len: 128
blockIdx.x: 65685, base: 8407680, len: 128
blockIdx.x: 65696, base: 8409088, len: 128
blockIdx.x: 65689, base: 8408192, len: 128
blockIdx.x: 65691, base: 8408448, len: 128
blockIdx.x: 65718, base: 8411904, len: 128
blockIdx.x: 65726, base: 8412928, len: 128
blockIdx.x: 65674, base: 8406272, len: 128
blockIdx.x: 65672, base: 8406016, len: 128
blockIdx.x: 65673, base: 8406144, len: 128
blockIdx.x: 65676, base: 8406528, len: 128
blockIdx.x: 65695, base: 8408960, len: 128
blockIdx.x: 65741, base: 8414848, len: 128
blockIdx.x: 65701, base: 8409728, len: 128
blockIdx.x: 65716, base: 8411648, len: 128
blockIdx.x: 65758, base: 8417024, len: 128
blockIdx.x: 65712, base: 8411136, len: 128
blockIdx.x: 65677, base: 8406656, len: 128
blockIdx.x: 65683, base: 8407424, len: 128
blockIdx.x: 65675, base: 8406400, len: 128
blockIdx.x: 65686, base: 8407808, len: 128
blockIdx.x: 65681, base: 8407168, len: 128
blockIdx.x: 65717, base: 8411776, len: 128
blockIdx.x: 65656, base: 8403968, len: 128
blockIdx.x: 65646, base: 8402688, len: 128
blockIdx.x: 65662, base: 8404736, len: 128
blockIdx.x: 65645, base: 8402560, len: 128
blockIdx.x: 65663, base: 8404864, len: 128
blockIdx.x: 65678, base: 8406784, len: 128
blockIdx.x: 65680, base: 8407040, len: 128
blockIdx.x: 65727, base: 8413056, len: 128
